contract_address,token_id,name,collection,image_url,metadata_url,opensea_url
,100,Grifter #099,Grifters,ipfs://QmY7Eu66PnW4xij5Xt7nar6pTQgSKubJcsAu2ma2C2Cu4b,ipfs://QmdXKjWpedCgvNXS1dZmomQF5QNWV5EqJWfqij7KY9Hcbx,
,101,Grifter #100,Grifters,ipfs://QmenUhU8bD7vHhb84mBnubPYLDo9Ta4C6tEQ2bwarrG8hu,ipfs://QmfDXxLnSzL8sdXM3ddvn4iUWw3c9vWPoSPZSuJgRJ8FBm,
,102,Grifter #101,Grifters,ipfs://QmSxLwR1bRENFb3pu39ajRfgEhszrta2jHVsinWoAxdZuK,ipfs://QmQupv3ZiWBmuJhurSU57XkzTD9YdqRRLNWee4Kz7uiZCx,
,103,Grifter #102,Grifters,ipfs://QmTVtAyVUMS2o1hHg3f4kHk9LdvAdCbE4sp6qTf4kNnTJp,ipfs://QmQqRScUnpBjBeJYPsKTN71NfiqedBpnFHGwiEfvaiTvUx,
,104,Grifter #103,Grifters,ipfs://QmNvPVUbrLQ6MYofjmSMWJqeK7RFvo31rZpuWNHXSvDyPA,ipfs://QmXgdG2sMqoSxjo3R3WmMHQAjAWCdPkaiWs7NQ7QUQXoRy,
,105,Grifter #104,Grifters,ipfs://QmX6gpp31Z3qpVE2rTvd2CXE5p6jGZ6tLELeEjUoH23bbC,ipfs://QmThNm2ZQr3uY9yWKQBt7BnvJrMcGvRu2Ji3jfE23MzvCf,
,106,Grifter #105,Grifters,ipfs://QmT2ECjRAj4W6hToe335WiFAw6a7XWAVUHfhC6pe2bq5Nv,ipfs://QmRoLp8FpnCsWfCiYJBfGzSHSeBZWkXfRttkgUoVNaUaBZ,
,107,Grifter #106,Grifters,ipfs://QmeXZ6uD6SHtauMQZWjUfYXJWd3daTc7ZjdR4heLYabEbr,ipfs://QmfRc65DH7v2Va29zWzNAfWEWVZFYAoD8vhxdfHyodZD3u,
,108,Grifter #107,Grifters,ipfs://QmeaGq7TVuWdv2zrZSXtCCiYikS68MzYC97Ynhqooj45KC,ipfs://QmcLAMpVDVi7Hfr8UynnFwodEbfwbZ5n7dRBmauosa5FuA,
,109,Grifter #108,Grifters,ipfs://QmaQy49uumeAQK1KCKavUx15aXhsJ8vbsYBTMfCkP6u54J,ipfs://Qmbi8kEXzxW3Ro6EYAHmBbynU6BRQSGEAoUn5vaUzfm6YE,
,110,Grifter #109,Grifters,ipfs://QmUTKBshtqZtNKVLC5EUeNkW7HM1QsCR6VcwjX7cnC7vJV,ipfs://Qme2VfzV7QKxC5z1gUtyYmNMGZcVzqZxFPJVgL5Syc8Etb,
,111,Grifter #110,Grifters,ipfs://QmS4jcDT64hFgrnj55SmS39NHddiRzn1gYmLFWtyCYMQfq,ipfs://QmTFutUiV58dF9zYJGciutSAaqSA7ZLtDcPDrP9iBqeq5g,
